Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
West Town,24,Multifamily,Paseo Boricua Apartments,1154 N. Campbell St.,60622,312-602-6500,Hispanic Housing Dev. Corp.,61,1153825.546749503,1940837.410770179,41.9934415657,-87.6996454249,"1154 N. Campbell St.
(41.9934415657, -87.6996454249)"
West Town,24,Multifamily,La Estancia,2753 W. Division St.,60622,773-227-6332,Bickerdike Redevelopment Corp.,59,1162934.3186359087,1940243.3793156522,41.9918656495,-87.7095450826,"2753 W. Division St.
(41.9918656495, -87.7095450826)"
West Town,24,Multifamily,North and Talman Family Apts.,2654 W. North Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,30,1159482.2925512826,1910028.9463462443,41.9087687359,-87.6768915182,"2654 W. North Ave.
(41.9087687359, -87.6768915182)"
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Talman Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,24,1157605.9794619114,1907856.1047262773,41.902878079,-87.6896325219,"1600 N. Talman Ave.
(41.902878079, -87.6896325219)"
West Town,24,Multifamily,Boulevard Court Family Housing,1723-33 N. Humboldt Blvd.,60647,773-486-7410,Hispanic Housing Dev. Corp.,52,1158184.4012101176,1907820.4806240404,41.902818751,-87.6965255554,"1723-33 N. Humboldt Blvd.
(41.902818751, -87.6965255554)"
West Town ,24,Multifamily,North & Talman Phase III,2656 W. North Ave.,60647,773-602-2888,Hispanic Housing Dev. Corp.,18,1158416.9732462608,1910570.9607547983,41.9103544922,-87.6943256397,"2656 W. North Ave.
(41.9103544922, -87.6943256397)"
West Town,24,Multifamily,Borinquen Bella Apartments,"1414,1451 N. Washtenaw Ave.",60622,"773-276-5338, ext. 225",LUCHA,23,1156143.3102157223,1910568.8103786097,41.9103438337,-87.6934713169,"1414,1451 N. Washtenaw Ave.
(41.9103438337, -87.6934713169)"
West Town,24,Multifamily,Borinquen Bella Apartments,"1318,1456 N. Rockwell Ave.",60622,"773-276-5338, ext. 225",LUCHA,24,,1911450.1899551263,41.9128086528,-87.701800063,"1318,1456 N. Rockwell Ave.
(41.9128086528, -87.701800063)"
West Town,24,ARO,1611 West Division,1611 W. Division St.,60622,773-661-5500,M. Fishman & Co.,10,,,,,
Woodlawn,42,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,33,,,,,
Woodlawn,42,Multifamily,Eddie Mae & Alex Johnson Apartments,6230 S. Dorchester Ave.,60637,773-288-4202,Woodlawn East Community,84,1158163.0704036378,,,,
Woodlawn,42,Multifamily,Renaissance Apartments,6200 S. University Ave.,60637,773-752-9400,AIMCO,64,1186141.3660938477,1910570.5211780062,41.9103537221,-87.694404013,"6200 S. University Ave.
(41.9103537221, -87.694404013)"
Woodlawn,42,Multifamily,WECAN,6450 S. Stony Island Ave.,60637,773-288-3000,WECAN,117,1186573.2624279982,1862376.5606601068,41.7774890264,-87.5931497136,"6450 S. Stony Island Ave.
(41.7774890264, -87.5931497136)"
Woodlawn,42,Multifamily,65th Street Apartments,6600 S. Greenwood Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",42,1184799.335314034,1863816.8653135095,41.7814311307,-87.5915208532,"6600 S. Greenwood Ave.
(41.7814311307, -87.5915208532)"
Woodlawn,42,Multifamily,65th Street Apartments,6522 S. Ingleside Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",18,1187957.5964530848,1864093.1165452064,41.7822309985,-87.598015727,"6522 S. Ingleside Ave.
(41.7822309985, -87.598015727)"
Woodlawn,42,Multifamily,65th Street Apartments,6400 S. Maryland Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",15,1184316.0378951721,1862318.6370591703,41.7772869881,-87.5864933515,"6400 S. Maryland Ave.
(41.7772869881, -87.5864933515)"
Woodlawn,42,Multifamily,65th Street Apartments,848-58 E. 65th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1183642.0293026692,1861429.0767049037,41.7749319632,-87.5998709117,"848-58 E. 65th St.
(41.7749319632, -87.5998709117)"
Woodlawn,42,Multifamily,65th Street Apartments,817 E. 64th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1182961.6084218968,1861850.3440547157,41.7761037074,-87.6023285746,"817 E. 64th St.
(41.7761037074, -87.6023285746)"
Woodlawn,42,Multifamily,Dorchester Apartments,1410 E. 62nd St.,60637,773-572-5500,The Thresholds,67,1183196.2396570912,1862758.2552538288,41.7786109444,-87.6047947203,"1410 E. 62nd St.
(41.7786109444, -87.6047947203)"
Woodlawn,42,Senior,Butler Apartments,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. Corp.,17,1182676.8468949487,1862140.1148931726,41.7769092523,-87.603953777,"6146 S. Kenwood Ave.
(41.7769092523, -87.603953777)"
Woodlawn ,42,Multifamily,The Grant at Woodlawn Pk Phase I,6227-29 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,67,1186722.4042227406,1863775.1466971007,41.7814080037,-87.6058071228,"6227-29 S. Cottage Grove Ave.
(41.7814080037, -87.6058071228)"
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase II,6129 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,33,1186094.2588179822,1864209.5724381572,41.7825052194,-87.5909616433,"6129 S. Cottage Grove Ave.
(41.7825052194, -87.5909616433)"
,,,,,,,,,,1864312.8427305536,41.7828034603,-87.5932613147,"(41.7828034603, -87.5932613147)"
